probeID	Array01	Array02	Array03	Array04	Array05	Array06	Array07	Array08	Array09	Array10	Array11	Array12	Array13	Array14	Array15	Array16	Array17	Array18	Array19	Array20
P0	0	0	0	1.13744	0	0	0	0	1.13743	0	0	0	0	0	0	0	0	0	0	1.13742
P1	0	0	0	0	0	0	0.758289	0	0	0	0	0	0	0	0	0	0	0	0.75829	0
P2	0.379159	0.379148	0	0	0	0	0	0	0	0.379154	0	0	0	0	0	0.379144	0	0	0	0.379151
P3	0.379139	0.37914	0.379144	0.379148	0.379147	0.379138	0.252669	0.379151	0.379142	0.37916	0.379137	0.379163	0.37915	0.379157	0.379158	0.37914	0.379162	0.379146	0.25266	0.379159
P4	0.379145	0.379153	0.379162	0.379147	0.379154	0.37914	0.252655	0.379153	0.379152	0.379163	0.379144	0.379163	0.379138	0.379146	0.379158	0.379142	0.379146	0.379137	0.25266	0.379155
P40	0	0.379155	0	0.347941	0	0	0	0	0	0	0	0	0	0	0.379147	0	0	0.379153	0	0
P41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379147	0.348317	0	0
P42	2.42496e-05	0.0308511	2.39811e-05	0.0252994	1.88601e-05	1.25043e-05	1.21007e-05	9.26556e-06	1.09658e-05	1.37678e-05	5.81392e-06	2.05488e-06	1.40419e-05	1.05989e-06	0.0308334	7.1018e-06	4.03421e-06	0.0308676	1.40989e-05	1.98194e-05
P63	0	0.379137	0	0.34794	0.379157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P64	2.25103e-05	0.0308188	2.05446e-05	0.0252919	0.0308752	1.2684e-05	1.09671e-05	2.17244e-05	1.45233e-05	6.91686e-06	3.51977e-06	1.27814e-05	1.39651e-05	3.66913e-06	1.59677e-05	1.12433e-05	1.2752e-05	2.68561e-06	1.942e-05	1.50496e-06
P65	0	0	0	0	0	0	0	0	0	0	0	0.379141	0	0	0	0	0	0	0	0
P6	0.0308579	0.0308417	1.38203e-05	1.94811e-05	4.59738e-06	1.65269e-05	1.15617e-05	1.87193e-05	2.40723e-05	0.0308474	2.42233e-05	3.69096e-06	2.51366e-05	1.55998e-05	1.0986e-05	0.0308467	1.4219e-05	2.19269e-05	7.90004e-06	0.0308528
